

========== API 리스트 ==========
    키움 REST API Unnamed: 1         Unnamed: 2 Unnamed: 3 Unnamed: 4            Unnamed: 5 Unnamed: 6
0           No.     API ID              API 명        대분류        중분류                   URL       바로가기
1             1    au10001            접근토큰 발급   OAuth 인증     접근토큰발급         /oauth2/token         이동
2             2    au10002             접근토큰폐기   OAuth 인증     접근토큰폐기        /oauth2/revoke         이동
3             3    ka10001           주식기본정보요청       국내주식       종목정보    /api/dostk/stkinfo         이동
4             4    ka10002            주식거래원요청       국내주식       종목정보    /api/dostk/stkinfo         이동
5             5    ka10003             체결정보요청       국내주식       종목정보    /api/dostk/stkinfo         이동
6             6    ka10004             주식호가요청       국내주식         시세    /api/dostk/mrkcond         이동
7             7    ka10005          주식일주월시분요청       국내주식         시세    /api/dostk/mrkcond         이동
8             8    ka10006             주식시분요청       국내주식         시세    /api/dostk/mrkcond         이동
9             9    ka10007           시세표성정보요청       국내주식         시세    /api/dostk/mrkcond         이동
10           10    ka10008       주식외국인종목별매매동향       국내주식     기관/외국인   /api/dostk/frgnistt         이동
11           11    ka10009             주식기관요청       국내주식     기관/외국인   /api/dostk/frgnistt         이동
12           12    ka10010           업종프로그램요청       국내주식         업종       /api/dostk/sect         이동
13           13    ka10011        신주인수권전체시세요청       국내주식         시세    /api/dostk/mrkcond         이동
14           14    ka10013           신용매매동향요청       국내주식       종목정보    /api/dostk/stkinfo         이동
15           15    ka10014            공매도추이요청       국내주식        공매도       /api/dostk/shsa         이동
16           16    ka10015           일별거래상세요청       국내주식       종목정보    /api/dostk/stkinfo         이동
17           17    ka10016             신고저가요청       국내주식       종목정보    /api/dostk/stkinfo         이동
18           18    ka10017             상하한가요청       국내주식       종목정보    /api/dostk/stkinfo         이동
19           19    ka10018            고저가근접요청       국내주식       종목정보    /api/dostk/stkinfo         이동
20           20    ka10019            가격급등락요청       국내주식       종목정보    /api/dostk/stkinfo         이동
21           21    ka10020           호가잔량상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
22           22    ka10021           호가잔량급증요청       국내주식       순위정보     /api/dostk/rkinfo         이동
23           23    ka10022            잔량율급증요청       국내주식       순위정보     /api/dostk/rkinfo         이동
24           24    ka10023            거래량급증요청       국내주식       순위정보     /api/dostk/rkinfo         이동
25           25    ka10024            거래량갱신요청       국내주식       종목정보    /api/dostk/stkinfo         이동
26           26    ka10025            매물대집중요청       국내주식       종목정보    /api/dostk/stkinfo         이동
27           27    ka10026            고저PER요청       국내주식       종목정보    /api/dostk/stkinfo         이동
28           28    ka10027        전일대비등락률상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
29           29    ka10028          시가대비등락률요청       국내주식       종목정보    /api/dostk/stkinfo         이동
30           30    ka10029        예상체결등락률상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
31           31    ka10030          당일거래량상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
32           32    ka10031          전일거래량상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
33           33    ka10032           거래대금상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
34           34    ka10033           신용비율상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
35           35    ka10034        외인기간별매매상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
36           36    ka10035        외인연속순매매상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
37           37    ka10036        외인한도소진율증가상위       국내주식       순위정보     /api/dostk/rkinfo         이동
38           38    ka10037        외국계창구매매상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
39           39    ka10038         종목별증권사순위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
40           40    ka10039         증권사별매매상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
41           41    ka10040          당일주요거래원요청       국내주식       순위정보     /api/dostk/rkinfo         이동
42           42    ka10042         순매수거래원순위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
43           43    ka10043         거래원매물대분석요청       국내주식       종목정보    /api/dostk/stkinfo         이동
44           44    ka10044         일별기관매매종목요청       국내주식         시세    /api/dostk/mrkcond         이동
45           45    ka10045        종목별기관매매추이요청       국내주식         시세    /api/dostk/mrkcond         이동
46           46    ka10046        체결강도추이시간별요청       국내주식         시세    /api/dostk/mrkcond         이동
47           47    ka10047         체결강도추이일별요청       국내주식         시세    /api/dostk/mrkcond         이동
48           48    ka10048       ELW일별민감도지표요청       국내주식        ELW        /api/dostk/elw         이동
49           49    ka10050         ELW민감도지표요청       국내주식        ELW        /api/dostk/elw         이동
50           50    ka10051        업종별투자자순매수요청       국내주식         업종       /api/dostk/sect         이동
51           51    ka10052         거래원순간거래량요청       국내주식       종목정보    /api/dostk/stkinfo         이동
52           52    ka10053          당일상위이탈원요청       국내주식       순위정보     /api/dostk/rkinfo         이동
53           53    ka10054      변동성완화장치발동종목요청       국내주식       종목정보    /api/dostk/stkinfo         이동
54           54    ka10055          당일전일체결량요청       국내주식       종목정보    /api/dostk/stkinfo         이동
55           55    ka10058       투자자별일별매매종목요청       국내주식       종목정보    /api/dostk/stkinfo         이동
56           56    ka10059        종목별투자자기관별요청       국내주식       종목정보    /api/dostk/stkinfo         이동
57           57    ka10060      종목별투자자기관별차트요청       국내주식         차트      /api/dostk/chart         이동
58           58    ka10061      종목별투자자기관별합계요청       국내주식       종목정보    /api/dostk/stkinfo         이동
59           59    ka10062          동일순매매순위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
60           60    ka10063         장중투자자별매매요청       국내주식         시세    /api/dostk/mrkcond         이동
61           61    ka10064       장중투자자별매매차트요청       국내주식         차트      /api/dostk/chart         이동
62           62    ka10065       장중투자자별매매상위요청       국내주식       순위정보     /api/dostk/rkinfo         이동
63           63    ka10066       장마감후투자자별매매요청       국내주식         시세    /api/dostk/mrkcond         이동
64           64    ka10068           대차거래추이요청       국내주식       대차거래        /api/dostk/slb         이동
65           65    ka10069       대차거래상위10종목요청       국내주식       대차거래        /api/dostk/slb         이동
66           66    ka10072    일자별종목별실현손익요청_일자       국내주식         계좌       /api/dostk/acnt         이동
67           67    ka10073    일자별종목별실현손익요청_기간       국내주식         계좌       /api/dostk/acnt         이동
68           68    ka10074          일자별실현손익요청       국내주식         계좌       /api/dostk/acnt         이동
69           69    ka10075              미체결요청       국내주식         계좌       /api/dostk/acnt         이동
70           70    ka10076               체결요청       국내주식         계좌       /api/dostk/acnt         이동
71           71    ka10077         당일실현손익상세요청       국내주식         계좌       /api/dostk/acnt         이동
72           72    ka10078       증권사별종목매매동향요청       국내주식         시세    /api/dostk/mrkcond         이동
73           73    ka10079          주식틱차트조회요청       국내주식         차트      /api/dostk/chart         이동
74           74    ka10080         주식분봉차트조회요청       국내주식         차트      /api/dostk/chart         이동
75           75    ka10081         주식일봉차트조회요청       국내주식         차트      /api/dostk/chart         이동
76           76    ka10082         주식주봉차트조회요청       국내주식         차트      /api/dostk/chart         이동
77           77    ka10083         주식월봉차트조회요청       국내주식         차트      /api/dostk/chart         이동
